Marque,Type de Vehicule,Nom du model,Annee,Couleur,Moteur,Chevaux,Prix (en euros),Description
Ferrari,Collection,458 Spider,1962,Rouge,V12,300,Sur demande,"La Ferrari 250 GTO est souvent considérée comme l'une des voitures de sport les plus légendaires jamais construites. Introduite en 1962, cette voiture de course homologuée pour la route incarne l'essence même de l'ingénierie italienne et du design automobile de l'époque. Dotée d'un moteur V12 de 3,0 litres produisant près de 300 chevaux, la 250 GTO était à la fois rapide sur piste et luxueuse sur route. Seulement 39 exemplaires ont été produits, ce qui en fait l'une des voitures de collection les plus recherchées au monde."
Ferrari,Collection,"365 GTB/4 ""Daytona""",1968,Rouge,V12,352,"500,000","La Ferrari 365 GTB/4, surnommée ""Daytona"" en hommage à la triple victoire de la marque au Mans en 1967, est un chef-d'œuvre de puissance et d'élégance. Propulsée par un moteur V12 de 4,4 litres développant environ 352 chevaux, la Daytona était l'une des voitures de grand tourisme les plus rapides de son époque, atteignant une vitesse de pointe impressionnante de plus de 280 km/h. Son design intemporel, avec ses lignes fluides et son profil agressif, en fait l'une des Ferrari les plus emblématiques jamais produites."
Ferrari,Collection,288 GTO,1984,Rouge,V8,400,"2,600,000","La Ferrari 288 GTO est la première voiture à porter le badge ""GTO"" depuis la légendaire 250 GTO des années 1960. Conçue à l'origine pour être un modèle de course du Groupe B, la 288 GTO était propulsée par un moteur V8 biturbo de 2,9 litres produisant environ 400 chevaux, ce qui lui permettait d'atteindre des vitesses de pointe de plus de 300 km/h. Bien que le Groupe B ait été annulé avant que la voiture ne puisse concourir, la 288 GTO est devenue une icône parmi les collectionneurs pour son mélange unique de performances de course et de design distinctif."
Ferrari,Collection,F40,1987,Rouge,V8,491,"2,200,000","Lancée en 1987 pour célébrer le 40e anniversaire de Ferrari, la F40 était alors la voiture de série la plus rapide au monde, capable d'atteindre une vitesse de pointe de plus de 320 km/h. Conçue comme une voiture de route homologuée pour la course, elle incarnait l'essence de la performance brute et de l'ingénierie de pointe. Son design agressif et son utilisation intensive de matériaux légers en fibre de carbone en font un objet de désir pour de nombreux amateurs de voitures de sport. La F40 est devenue un symbole de la puissance et de la passion de Ferrari pour l'automobile."
Ferrari,Collection,250 GT California Spyder,1951,Rouge,V12,237,"15,300,000","Produite dans les années 1950 et 1960, la Ferrari 250 GT California Spyder est l'une des voitures de sport les plus emblématiques de Ferrari. Elle était célèbre pour son design élégant, sa performance impressionnante et son exclusivité. La California Spyder était une voiture décapotable à deux places qui incarnait le style de vie décontracté de la Californie. Sa rareté et son histoire en font l'une des voitures les plus recherchées par les collectionneurs, avec des prix de vente aux enchères dépassant souvent plusieurs millions de dollars."
Ferrari,Collection,Dino 246 GT,1969,Rouge,V6,196,"400,000","La Ferrari Dino 246 GT, introduite en 1969, était une voiture de sport à moteur central produite en l'honneur du fils d'Enzo Ferrari, Alfredo ""Dino"" Ferrari, qui était décédé prématurément en 1956. Cette voiture était une version améliorée de la Dino 206 GT et était équipée d'un moteur V6 de 2,4 litres. La Dino 246 GT était réputée pour ses performances exceptionnelles, son agilité et son design élégant. Elle est devenue une icône de l'ère des voitures de sport à moteur central et reste très prisée des collectionneurs."
Ferrari,Collection,Testarossa,1984,Noir,V12,387,"288,000","Introduite en 1984, la Ferrari Testarossa était une supercar emblématique des années 1980. Elle était équipée d'un moteur V12 à plat de 4,9 litres, ce qui lui permettait d'atteindre des vitesses élevées avec facilité. Son design audacieux, avec ses larges prises d'air latérales distinctives, en a fait l'une des voitures les plus reconnaissables de son époque. La Testarossa est devenue célèbre dans la culture populaire grâce à son apparition dans de nombreux films et émissions de télévision, ce qui a contribué à renforcer sa réputation d'icône de l'automobile."
Mercedes-Benz,Collection,"300 SL ""Gullwing""",1956,Gris,V8,218,"6,800,000","La 300 SL est l'une des voitures les plus emblématiques de Mercedes-Benz, avec ses portes papillon distinctives lui donnant le surnom de ""Gullwing"" (ailes de mouette). Elle est propulsée par un moteur six cylindres en ligne de 3,0 litres, produisant environ 215 chevaux. Dotée d'une carrosserie en aluminium et d'un châssis tubulaire, la 300 SL était à la fois légère et performante. Elle était également la première voiture de série à être équipée d'injection directe, assurant une puissance et une efficacité remarquables."
Mercedes-Benz,Collection,600 Finition Pullman,1977,Noir,V8,300,"500,000","La Mercedes-Benz Pullman est une série de limousines de luxe produites par Mercedes-Benz. Elle a été introduite dans les années 1920 avec le modèle 24/100/140 PS, mais elle est devenue emblématique dans les années 1960 avec la série des modèles 600 Pullman. Ces voitures étaient utilisées par des chefs d'État et des personnalités influentes à travers le monde en raison de leur luxe et de leur confort exceptionnels. La Pullman était équipée de moteurs puissants, de suspensions pneumatiques et d'intérieurs somptueux avec des équipements haut de gamme. Bien que la production de la 600 Pullman ait pris fin dans les années 1980, son héritage a été perpétué à travers d'autres modèles Mercedes-Benz, notamment la Classe S Maybach."
Mercedes-Benz,Collection,190 SL,1955,Gris,I4,105,"130,000","La Mercedes-Benz 190 SL était une voiture de sport élégante et raffinée, souvent considérée comme la ""petite sœur"" de la célèbre 300 SL. Propulsée par un moteur quatre cylindres en ligne de 1,9 litre, développant environ 105 chevaux, la 190 SL offrait des performances plus accessibles tout en conservant le style distinctif de son aînée. Avec sa carrosserie décapotable et son intérieur luxueux, la 190 SL était très appréciée des amateurs de voitures de sport élégantes et sophistiquées."
Mercedes-Benz,Collection,540K,1935,Rouge,I8,180,Sur demande,"La Mercedes-Benz 540K était une voiture de grand tourisme produite dans les années 1930. Elle était célèbre pour son style élégant, sa performance impressionnante et sa rareté. Propulsée par un moteur huit cylindres en ligne suralimenté de 5,4 litres, la 540K était l'une des voitures les plus rapides de son époque. Elle était souvent carrossée par des carrossiers de renom, offrant une variété de styles de carrosserie personnalisés, y compris des cabriolets, des coupés et des roadsters. La 540K est devenue une icône de l'ère pré-guerre de l'automobile et reste très prisée par les collectionneurs."
Mercedes-Benz,Collection,170K,1931,Noir,I4,53,"35,000","La Mercedes-Benz 170 était une voiture compacte produite dans les années 1930, 1940 et 1950. Elle était réputée pour sa fiabilité, sa durabilité et son économie de fonctionnement. Disponible en différentes versions, y compris des berlines, des cabriolets et des breaks, la 170 était populaire auprès d'un large éventail de clients. Elle était propulsée par un moteur quatre cylindres en ligne de 1,7 litre et offrait des performances modestes mais suffisantes pour une utilisation quotidienne. La 170 a contribué à établir la réputation de Mercedes-Benz pour la qualité et l'ingénierie solide."
Mercedes-Benz,Collection,300 SL Roadster,1957,Noir,I6,240,"1,500,000","La Mercedes-Benz 300 SL Roadster est la version cabriolet de la célèbre 300 SL ""Gullwing"". Introduite en 1957, elle conserve le style emblématique de la 300 SL tout en offrant la possibilité de profiter d'une conduite décapotable. Propulsée par le même moteur six cylindres en ligne de 3 litres que la version coupé, la 300 SL Roadster offre des performances remarquables et un plaisir de conduite incomparable. Avec son design élégant et son héritage de course, la 300 SL Roadster incarne le luxe et le prestige de Mercedes-Benz dans les années 1950 et 1960."
Mercedes-Benz,Collection,280 SE 3.5 Cabriolet,1971,Rouge,V8,200,"70,000","La Mercedes-Benz 280 SE 3.5 Cabriolet de 1971 était une voiture emblématique de son époque, offrant luxe, confort et performances. Avec son moteur V8 de 3,5 litres, elle délivrait environ 200 chevaux et avait une vitesse maximale d'environ 210 km/h (130 mph), ce qui était impressionnant pour son temps.Cette voiture était très prisée par les célébrités et les personnalités influentes de l'époque en raison de son élégance intemporelle et de son raffinement. Elle incarnait le summum du luxe et de la sophistication dans l'industrie automobile. Son moteur V8 fournissait une puissance suffisante pour offrir des performances agréables, tandis que son design classique et ses finitions haut de gamme en faisaient une voiture de grand prestige. Avec son cabriolet, elle offrait également une expérience de conduite unique, permettant aux occupants de profiter pleinement du plaisir de rouler en plein air."
Mercedes-Benz,Collection,230 SL Pagode,1967,Bleu,I6,150,"80,000","La Mercedes-Benz 230 SL Pagode, produite à partir de 1963, était une voiture emblématique de son époque, renommée pour son design élégant et ses performances solides. La version de 1967 était équipée d'un moteur six cylindres en ligne de 2,3 litres, produisant environ 150 chevaux. En termes de vitesse maximale, la Mercedes-Benz 230 SL Pagode de 1967 pouvait atteindre environ 200 km/h (124 mph), ce qui était très respectable pour l'époque. Bien que ce chiffre puisse varier légèrement en fonction de divers facteurs tels que le réglage du moteur et les conditions de conduite, la voiture offrait des performances satisfaisantes pour les conducteurs de l'époque. La 230 SL Pagode était également connue pour son maniement agile et sa tenue de route précise, grâce à sa suspension indépendante aux quatre roues et à sa conception équilibrée. Elle était souvent appréciée pour son équilibre entre performances sportives et confort de conduite. Au-delà de ses performances, la Pagode était également célèbre pour son style distinctif, caractérisé par son toit rigide amovible en forme de pagode, d'où elle tire son surnom. Son design intemporel et ses lignes épurées en ont fait un modèle recherché par les collectionneurs d'aujourd'hui."
Mercedes-Benz,Collection,"280 SL ""Pagode""",1968,Gris,I6,170,"120,000","La Mercedes-Benz 280 SL Pagode, également connue sous le nom de Mercedes-Benz W113, était une voiture emblématique de son époque, produite entre 1967 et 1971. Équipée d'un moteur six cylindres en ligne de 2,8 litres, elle produisait environ 170 chevaux. En ce qui concerne sa vitesse maximale, la Mercedes-Benz 280 SL Pagode de 1968 pouvait atteindre environ 200 km/h (124 mph), ce qui était assez impressionnant pour son époque. Ces performances étaient dues en partie à son moteur robuste et à sa conception légère, qui lui permettaient d'atteindre des vitesses élevées avec aisance.La 280 SL Pagode était également appréciée pour son excellente tenue de route et sa maniabilité précise, grâce à sa suspension indépendante aux quatre roues et à son châssis bien équilibré. Cela en faisait une voiture de sport agréable à conduire sur des routes sinueuses ouvertes.Le design de la Pagode était également un élément clé de son attrait, avec son toit rigide amovible qui pouvait être rangé dans le coffre arrière, transformant la voiture en un cabriolet élégant. Son style intemporel, caractérisé par des lignes épurées et des proportions harmonieuses, en a fait un classique de l'automobile qui est toujours très recherché par les collectionneurs aujourd'hui."
Mercedes-Benz,Collection,300 SLR Ulhenhaut Coupé,1955,Gris,I8,310,"135,000,000","Le Mercedes-Benz 300 SLR Uhlenhaut Coupé est une pièce rare et prestigieuse de l'histoire automobile. Conçue en 1955 par Rudolf Uhlenhaut, ingénieur en chef chez Mercedes-Benz, cette voiture représente l'apogée de l'ingénierie et du design de l'époque. Seuls deux exemplaires ont été produits, une se trouve au musée Merdedes-Benz tandis que la seconde est devenue la voiture la plus cher du monde. Doté du même moteur huit cylindres en ligne de 3 litres que la 300 SLR standard, produisant environ 310 chevaux, l'Uhlenhaut Coupé se distinguait par sa carrosserie en aluminium spécialement conçue pour améliorer l'aérodynamique, ainsi que par des ajustements au niveau du châssis pour renforcer la rigidité. Ces modifications ont été réalisées pour maximiser les performances de la voiture sur piste. En raison de sa rareté, de son association avec Rudolf Uhlenhaut et de son importance historique, le 300 SLR Uhlenhaut Coupé est devenu l'une des voitures de course les plus convoitées au monde. Chaque exemplaire est considéré comme un joyau de l'automobile, représentant un témoignage de l'ingéniosité et de la maîtrise technique de Mercedes-Benz à cette époque."
